Consonant,Place
m,labial
p,labial
b,labial
f,labiodental
v,labiodental
n,alveolar
t,alveolar
d,alveolar
s,alveolar
z,alveolar
r,alveolar
l,alveolar
ʃ,postalveolar
ʧ,postalveolar
ɲ,palatal
j,palatal
ŋ,velar
k,velar
g,velar
ʔ,glottal
h,glottal
