Consonant,Place,Manner
m,labial,nasal
p,labial,plosive
b,labial,plosive
f,labiodental,fricative
v,labiodental,fricative
n,alveolar,nasal
t,alveolar,plosive
d,alveolar,plosive
s,alveolar,fricative
z,alveolar,fricative
r,alveolar,liquid
l,alveolar,liquid
ʃ,postalveolar,fricative
ʧ,postalveolar,affricate
ɲ,palatal,nasal
j,palatal,approximant
ŋ,velar,nasal
k,velar,plosive
g,velar,plosive
ʔ,glottal,plosive
h,glottal,fricative
